Bacteria_Pair	Substrate	S_Name	DNA_Number	16S_total	Species_1	Species_2
V975/B54832	NOCHO	B1_V9B5_NOCHO	1	5.77E+09	8.20E+08	4.78E+08
V975/B54832	NOCHO	B2_V9B5_NOCHO	2	6.10E+09	8.78E+08	5.36E+08
V975/B54832	NOCHO	B3_V9B5_NOCHO	3	4.39E+09	6.42E+08	4.41E+08
V975/B54832	Glucose	B4_V9B5_G	4	4.85E+09	5.07E+08	5.28E+08
V975/B54832	Glucose	B5_V9B5_G	5	5.03E+09	5.04E+08	5.67E+08
V975/B54832	Glucose	B6_V9B5_G	6	6.98E+09	8.93E+08	5.76E+08
V975/B54832	Apple_Pectin	B7_V9B5_AP	7	9.76E+09	7.99E+08	1.34E+09
V975/B54832	Apple_Pectin	B8_V9B5_AP	8	1.00E+10	7.69E+08	1.45E+09
V975/B54832	Apple_Pectin	B9_V9B5_AP	9	1.21E+10	8.85E+08	1.63E+09
V975/B54832	B_D_glucan	B10_V9B5_BG	82	7.34E+09	9.73E+08	8.07E+08
V975/B54832	B_D_glucan	B11_V9B5_BG	83	9.17E+09	1.38E+09	1.17E+09
V975/B54832	B_D_glucan	B12_V9B5_BG	84	7.93E+09	1.03E+09	9.42E+08
V975/B54832	Galactomannan	B4_V9B5_GT	76	1.06E+10	2.12E+09	3.12E+08
V975/B54832	Galactomannan	B5_V9B5_GT	77	1.21E+10	2.36E+09	3.03E+08
V975/B54832	Galactomannan	B6_V9B5_GT	78	9.49E+09	1.86E+09	3.72E+08
V975/B54832	Potato_Starch	B10_V9B5_PS	10	3.96E+09	2.96E+08	5.54E+08
V975/B54832	Potato_Starch	B11_V9B5_PS	11	6.06E+09	4.70E+08	8.23E+08
V975/B54832	Potato_Starch	B12_V9B5_PS	12	4.96E+09	3.12E+08	8.24E+08
V975/B54832	Xylan	B7_V9B5_XY	79	1.16E+10	1.74E+09	9.84E+08
V975/B54832	Xylan	B8_V9B5_XY	80	1.10E+10	1.61E+09	1.06E+09
V975/B54832	Xylan	B9_V9B5_XY	81	1.39E+10	2.54E+09	1.10E+09
V975/B54832	Xyloglucan	B1_V9B5_XG	73	9.63E+09	1.07E+09	1.23E+09
V975/B54832	Xyloglucan	B2_V9B5_XG	74	1.73E+10	2.81E+09	1.37E+09
V975/B54832	Xyloglucan	B3_V9B5_XG	75	1.71E+10	2.77E+09	1.34E+09
V975/DSM_1447	NOCHO	C1_V9D47_NOCHO	13	6.91E+09	9.75E+08	3.52E+08
V975/DSM_1447	NOCHO	C2_V9D47_NOCHO	14	7.59E+09	1.09E+09	2.99E+08
V975/DSM_1447	NOCHO	C3_V9D47_NOCHO	15	6.44E+09	9.15E+08	3.26E+08
V975/DSM_1447	Glucose	C4_V9D47_G	16	5.27E+09	3.38E+08	4.47E+08
V975/DSM_1447	Glucose	C5_V9D47_G	17	6.28E+09	5.83E+08	4.30E+08
V975/DSM_1447	Glucose	C6_V9D47_G	18	6.11E+09	4.90E+08	4.64E+08
V975/DSM_1447	Apple_Pectin	C7_V9D47_AP	19	1.82E+10	2.35E+09	8.52E+08
