Well Number	DNA_S_N	Substrate	MAXOD	copperml	ph_check	growth
1	6	NO_CHO	0.153666667	1.4E+09	6.62	0.1197
2	8	NO_CHO	0.158166667	1.0E+09	6.62	0.1413
3	14	NO_CHO	0.153166667	1.2E+09	6.68	0.1549
4	5	Glucose	0.401666667	1.5E+09	5.15	0.1945
6	17	Glucose	0.434166667	1.6E+09	5.14	0.1448
5	20	Glucose	0.394166667	1.4E+09	5.15	0.298
9	11	Apple_Pectin	0.418666667	3.9E+09	5.49	0.4264
8	24	Apple_Pectin	0.423166667	3.0E+09	5.45	0.6435
7	10	Apple_Pectin	0.435666667	3.3E+09	5.45	0.6344
5	4	B_D_glucan	0.330111111	2.3E+09	4.93	0.2235
6	13	B_D_glucan	0.376111111	1.2E+09	4.93	0.2336
4	16	B_D_glucan	0.317111111	9.0E+08	4.94	0.2629
10	1	Galactomannan	0.302111111	1.1E+09	5.8	0.1925
11	7	Galactomannan	0.302611111	1.7E+09	5.79	0.1825
12	9	Galactomannan	0.387111111	1.6E+09	5.77	0.1642
12	3	Potato_Starch	0.365444444	1.2E+09	5.23	0.5233
11	12	Potato_Starch	0.335944444	1.7E+09	5.2	0.4898
10	22	Potato_Starch	0.332944444	1.2E+09	5.22	0.519
9	18	Xylan	0.375388889	3.6E+09	5.73	0.3606
7	19	Xylan	0.359388889	3.2E+09	5.74	0.3478
8	25	Xylan	0.369388889	3.4E+09	5.75	0.2989
3	2	Xyloglucan	0.408611111	2.9E+09	5.56	0.1995
2	15	Xyloglucan	0.305611111	3.0E+09	5.57	0.1748
1	23	Xyloglucan	0.461111111	2.6E+09	5.56	0.1669
