Number	Well	Bacterium	Substrate	Replicate	GrowthRate
151	A7	V975	Xylan	R1	0.5186
152	A8	V975	Xylan	R2	0.4709
153	A9	V975	Xylan	R3	0.4883
181	C7	DSM1447	Xylan	R1	0.1056
182	C8	DSM1447	Xylan	R2	0.2673
183	C9	DSM1447	Xylan	R3	0.2241
199	D7	DSM19555	Xylan	R1	0.116
200	D8	DSM19555	Xylan	R2	0.1059
201	D9	DSM19555	Xylan	R3	0.0928
214	E7	DSM18836	Xylan	R1	0.204
215	E8	DSM18836	Xylan	R2	0.3118
216	E9	DSM18836	Xylan	R3	0.1539
226	F7	DSM14838	Xylan	R1	0.0341
227	F8	DSM14838	Xylan	R2	0.0381
228	F9	DSM14838	Xylan	R3	0.0415
169	B7	B5482	Xylan	R1	0.1995
170	B8	B5482	Xylan	R2	0.1175
171	B9	B5482	Xylan	R3	0.2868
