DNA_Sample	Fermenter	Time	Fibre	Incubation Type	Species	percentage
37	F1	0	Initial	Initial	DSM14838	16.4329862
37	F1	0	Initial	Initial	V975	20.44182652
37	F1	0	Initial	Initial	DSM19555	23.99558979
37	F1	0	Initial	Initial	B5482	15.15021524
37	F1	0	Initial	Initial	DSM18836	11.11892178
37	F1	0	Initial	Initial	DSM1447	12.86046046
4	F2	0	Initial	Initial	DSM14838	16.98566142
4	F2	0	Initial	Initial	V975	17.22596566
4	F2	0	Initial	Initial	DSM19555	24.22017483
4	F2	0	Initial	Initial	B5482	15.06505671
4	F2	0	Initial	Initial	DSM18836	12.61727575
4	F2	0	Initial	Initial	DSM1447	13.88586562
41	F3	0	Initial	Initial	DSM14838	11.5996472
41	F3	0	Initial	Initial	V975	27.12098101
41	F3	0	Initial	Initial	DSM19555	21.5205638
41	F3	0	Initial	Initial	B5482	20.16699974
41	F3	0	Initial	Initial	DSM18836	9.873900727
41	F3	0	Initial	Initial	DSM1447	9.717907517
32	F1	3	Mix 	Batch	DSM14838	13.21944856
32	F1	3	Mix 	Batch	V975	20.35378109
32	F1	3	Mix 	Batch	DSM19555	19.67782756
32	F1	3	Mix 	Batch	B5482	23.18517089
32	F1	3	Mix 	Batch	DSM18836	10.91454512
32	F1	3	Mix 	Batch	DSM1447	12.64922679
5	F2	3	Mix	Batch	DSM14838	14.62416001
5	F2	3	Mix	Batch	V975	15.22540034
5	F2	3	Mix	Batch	DSM19555	20.71343571
5	F2	3	Mix	Batch	B5482	26.30324404
5	F2	3	Mix	Batch	DSM18836	14.06085626
5	F2	3	Mix	Batch	DSM1447	9.072903636
22	F3	3	Mix	Batch	DSM14838	1.407815479
22	F3	3	Mix	Batch	V975	20.56339139
22	F3	3	Mix	Batch	DSM19555	32.91122252
22	F3	3	Mix	Batch	B5482	17.73990791
22	F3	3	Mix	Batch	DSM18836	11.53627697
22	F3	3	Mix	Batch	DSM1447	15.84138574
12	F1	24	Mix	Continuous	DSM14838	1.42960444
12	F1	24	Mix	Continuous	V975	24.8457326
12	F1	24	Mix	Continuous	DSM19555	12.37036828
12	F1	24	Mix	Continuous	B5482	31.0810569
12	F1	24	Mix	Continuous	DSM18836	14.85465545
12	F1	24	Mix	Continuous	DSM1447	15.41858233
15	F2	24	Mix	Continuous	DSM14838	1.14456706
15	F2	24	Mix	Continuous	V975	25.36373044
15	F2	24	Mix	Continuous	DSM19555	11.27046523
15	F2	24	Mix	Continuous	B5482	40.93953651
15	F2	24	Mix	Continuous	DSM18836	12.47685981
15	F2	24	Mix	Continuous	DSM1447	8.804840955
34	F3	24	Mix	Continous	DSM14838	10.10770732
34	F3	24	Mix	Continous	V975	28.7464341
34	F3	24	Mix	Continous	DSM19555	13.00285519
34	F3	24	Mix	Continous	B5482	30.88175779
34	F3	24	Mix	Continous	DSM18836	1.540662781
34	F3	24	Mix	Continous	DSM1447	15.72058282
10	F1	27	Apple_Pectin	Batch	DSM14838	1.650421035
10	F1	27	Apple_Pectin	Batch	V975	30.45076573
10	F1	27	Apple_Pectin	Batch	DSM19555	15.21426477
10	F1	27	Apple_Pectin	Batch	B5482	23.86669444
10	F1	27	Apple_Pectin	Batch	DSM18836	14.20085933
10	F1	27	Apple_Pectin	Batch	DSM1447	14.61699469
30	F2	27	Apple_Pectin	Batch	DSM14838	1.944681516
30	F2	27	Apple_Pectin	Batch	V975	24.22361215
30	F2	27	Apple_Pectin	Batch	DSM19555	13.29872716
